<<<<<<< HEAD
name	taxid	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	percent_total_reads	accn
Lelliottia amnigena	61646	S	657	305	962	1.00E-05	1.00E-03	GCF_947072025.1
Symbiopectobacterium purcellii	2871826	S	571	53	624	1.00E-05	1.00E-03	GCF_019797845.1
Buttiauxella sp. WJP83	2986951	S	430	76	506	1.00E-05	1.00E-03	GCF_027594725.1
Buttiauxella agrestis	82977	S	376	78	454	1.00E-05	1.00E-03	GCF_013234275.1
Buttiauxella ferragutiae	82989	S	116	248	364	1.00E-05	1.00E-03	GCF_022637515.1
Atlantibacter subterranea	255519	S	213	113	326	1.00E-05	1.00E-03	GCF_032071425.1
Superficieibacter sp. HKU1	3031919	S	763	154	917	1.00E-05	1.00E-03	GCF_029319185.1
Scandinavium goeteborgense	1851514	S	730	151	881	1.00E-05	1.00E-03	GCF_024765015.1
Shimwellia blattae	563	S	719	86	805	1.00E-05	1.00E-03	GCF_900636035.1
Pseudescherichia vulneris	566	S	695	43	738	1.00E-05	1.00E-03	GCF_963526875.1
Yokenella regensburgei	158877	S	629	235	864	1.00E-05	1.00E-03	GCF_031998305.1
Pseudocitrobacter corydidari	2891570	S	525	100	625	1.00E-05	1.00E-03	GCF_021172065.1
Phytobacter diazotrophicus	395631	S	41	610	651	1.00E-05	1.00E-03	GCF_030296995.1
Shigella dysenteriae	622	S	88	448	536	1.00E-05	1.00E-03	GCF_032363495.1
Shigella sonnei	624	S	42	587	629	1.00E-05	1.00E-03	GCF_950293265.1
Serratia sp. FDAARGOS_506	2420306	S	391	210	601	1.00E-05	1.00E-03	GCF_003812745.1
Serratia sp. FGI94	671990	S	367	234	601	1.00E-05	1.00E-03	GCF_000330865.1
Serratia sp. 1D1416	2447890	S	139	344	483	1.00E-05	1.00E-03	GCF_003641105.1
Serratia sp. K-E0102	3021405	S	46	360	406	1.00E-05	1.00E-03	GCF_029962625.1
Serratia sp. HRI	2663241	S	31	730	761	1.00E-05	1.00E-03	GCF_010119335.3
Serratia sp. SSNIH1	1758196	S	17	329	346	1.00E-05	1.00E-03	GCF_002935055.1
Serratia surfactantfaciens	2741499	S	612	193	805	1.00E-05	1.00E-03	GCF_016237035.1
Serratia quinivorans	137545	S	557	122	679	1.00E-05	1.00E-03	GCF_946226905.1
Serratia grimesii	82995	S	492	38	530	1.00E-05	1.00E-03	GCF_026183555.1
Serratia inhibens	2338073	S	484	106	590	1.00E-05	1.00E-03	GCF_003591175.1
Serratia symbiotica	138074	S	455	36	491	1.00E-05	1.00E-03	GCF_024029875.1
Serratia rhizosphaerae	2597702	S	350	187	537	1.00E-05	1.00E-03	GCF_009817885.1
Serratia ficaria	61651	S	121	368	489	1.00E-05	1.00E-03	GCF_946226995.1
Serratia nematodiphila	458197	S	47	378	425	1.00E-05	1.00E-03	GCF_024296805.1
Serratia nevei	2703794	S	33	525	558	1.00E-05	1.00E-03	GCF_031570195.1
Yersinia enterocolitica	630	S	455	176	631	1.00E-05	1.00E-03	GCF_030385255.1
Yersinia ruckeri	29486	S	331	49	380	1.00E-05	1.00E-03	GCF_031192345.1
Yersinia hibernica	2339259	S	280	55	335	1.00E-05	1.00E-03	GCF_902170435.1
Yersinia frederiksenii	29484	S	203	260	463	1.00E-05	1.00E-03	GCF_030385105.1
Yersinia intermedia	631	S	120	276	396	1.00E-05	1.00E-03	GCF_030385095.1
Rahnella sikkimica	1805933	S	712	106	818	1.00E-05	1.00E-03	GCF_002951615.1
Rahnella inusitata	58169	S	711	232	943	1.00E-05	1.00E-03	GCF_018288855.1
Rahnella bonaserana	2816248	S	484	129	613	1.00E-05	1.00E-03	GCF_030127005.1
Rahnella aquatilis	34038	S	464	146	610	1.00E-05	1.00E-03	GCF_021498265.1
Rouxiella chamberiensis	1513468	S	815	112	927	1.00E-05	1.00E-03	GCF_026967475.1
Chania multitudinisentens	1639108	S	409	45	454	1.00E-05	1.00E-03	GCF_000520015.2
Pantoea sp. SOD02	2970818	S	715	140	855	1.00E-05	1.00E-03	GCF_024707505.1
Pantoea sp. CCBC3-3-1	2490851	S	645	117	762	1.00E-05	1.00E-03	GCF_007981265.1
Pantoea sp. Lij88	3028622	S	441	124	565	1.00E-05	1.00E-03	GCF_030062155.1
Pantoea sp. X85	3037258	S	195	493	688	1.00E-05	1.00E-03	GCF_029623675.1
Pantoea sp. SO10	2575375	S	169	258	427	1.00E-05	1.00E-03	GCF_005281435.1
Pantoea sp. SS70	3024247	S	135	323	458	1.00E-05	1.00E-03	GCF_029866845.1
Pantoea sp. MT58	2768165	S	99	373	472	1.00E-05	1.00E-03	GCF_014495885.1
Pantoea sp. 201603H	2479547	S	30	484	514	1.00E-05	1.00E-03	GCF_009676845.1
Pantoea cypripedii	55209	S	767	21	788	1.00E-05	1.00E-03	GCF_031556935.1
Pantoea phytobeneficialis	2052056	S	643	36	679	1.00E-05	1.00E-03	GCF_030548545.1
Pantoea rwandensis	1076550	S	526	99	625	1.00E-05	1.00E-03	GCF_002095475.1
Pantoea eucalypti	470933	S	140	493	633	1.00E-05	1.00E-03	GCF_032061605.1
Erwinia sp. DE2	3062598	S	686	96	782	1.00E-05	1.00E-03	GCF_030758455.1
Erwinia sp. QL-Z3	2547962	S	204	465	669	1.00E-05	1.00E-03	GCF_004551645.1
Erwinia sorbitola	2681984	S	666	104	770	1.00E-05	1.00E-03	GCF_009738185.1
Erwinia tasmaniensis	338565	S	638	104	742	1.00E-05	1.00E-03	GCF_000026185.1
Erwinia amylovora	552	S	449	152	601	1.00E-05	1.00E-03	GCF_028623185.1
Erwinia pyrifoliae	79967	S	143	361	504	1.00E-05	1.00E-03	GCF_025656905.1
[Pantoea] beijingensis	1324864	S	21	354	375	1.00E-05	1.00E-03	GCF_022647505.1
Mixta hanseatica	2872648	S	709	249	958	1.00E-05	1.00E-03	GCF_023517775.1
Mixta intestinalis	1615494	S	672	102	774	1.00E-05	1.00E-03	GCF_009914055.1
Tatumella ptyseos	82987	S	484	54	538	1.00E-05	1.00E-03	GCF_030552895.1
Buchnera aphidicola	9	S	750	26	776	1.00E-05	1.00E-03	GCF_948107705.1
Dickeya solani	1089444	S	562	207	769	1.00E-05	1.00E-03	GCF_027920785.2
Dickeya poaceiphila	568768	S	503	64	567	1.00E-05	1.00E-03	GCF_007858975.2
Dickeya lacustris	2259638	S	457	97	554	1.00E-05	1.00E-03	GCF_029635795.1
Dickeya sp. NCPPB 3274	568766	S	170	261	431	1.00E-05	1.00E-03	GCF_000406205.1
Dickeya sp. Secpp 1600	2037915	S	43	491	534	1.00E-05	1.00E-03	GCF_003049805.1
Pectobacterium cacticida	69221	S	410	47	457	1.00E-05	1.00E-03	GCF_025946765.1
Pectobacterium parmentieri	1905730	S	359	110	469	1.00E-05	1.00E-03	GCF_023508125.1
Pectobacterium atrosepticum	29471	S	342	72	414	1.00E-05	1.00E-03	GCF_030236315.1
Pectobacterium polaris	2042057	S	278	153	431	1.00E-05	1.00E-03	GCF_029524165.1
Pectobacterium versatile	2488639	S	162	362	524	1.00E-05	1.00E-03	GCF_023914135.1
Brenneria rubrifaciens	55213	S	680	100	780	1.00E-05	1.00E-03	GCF_005484945.1
Proteus terrae	1574161	S	112	491	603	1.00E-05	1.00E-03	GCF_031872955.1
Providencia rettgeri	587	S	344	490	834	1.00E-05	1.00E-03	GCF_031921665.1
Providencia alcalifaciens	126385	S	254	97	351	1.00E-05	1.00E-03	GCF_029962585.1
Providencia vermicola	333965	S	63	395	458	1.00E-05	1.00E-03	GCF_029542345.1
Xenorhabdus bovienii	40576	S	422	64	486	1.00E-05	1.00E-03	GCF_029105195.1
Edwardsiella ictaluri	67780	S	668	212	880	1.00E-05	1.00E-03	GCF_030347235.1
Edwardsiella sp. LADL05-105	1650654	S	1	700	701	1.00E-05	1.00E-03	GCF_001186215.2
Sodalis glossinidius	63612	S	836	78	914	1.00E-05	1.00E-03	GCF_000010085.1
Candidatus Sodalis pierantonius	1486991	S	357	204	561	1.00E-05	1.00E-03	GCF_000517405.1
Leminorella richardii	158841	S	507	42	549	1.00E-05	1.00E-03	GCF_902386615.1
Halomonas sp. SH5A2	2749040	S	691	30	721	1.00E-05	1.00E-03	GCF_014263395.1
Halomonas sp. NyZ770	2883106	S	645	237	882	1.00E-05	1.00E-03	GCF_020616575.1
Halomonas sp. BDJS001	2992143	S	621	48	669	1.00E-05	1.00E-03	GCF_026104355.1
Halomonas sp. 18071143	2855441	S	611	355	966	1.00E-05	1.00E-03	GCF_019211725.1
Halomonas sp. R57-5	1610576	S	529	100	629	1.00E-05	1.00E-03	GCF_900070345.1
Halomonas sp. KO116	1504981	S	513	136	649	1.00E-05	1.00E-03	GCF_000734975.2
Halomonas sp. FeN2	2832500	S	492	100	592	1.00E-05	1.00E-03	GCF_020595105.1
Halomonas sp. HAL1	550984	S	406	87	493	1.00E-05	1.00E-03	GCF_030544485.1
Halomonas sp. 7T	2893469	S	388	124	512	1.00E-05	1.00E-03	GCF_025643255.1
Halomonas sp. TD01	999141	S	335	49	384	1.00E-05	1.00E-03	GCF_923868895.1
Halomonas sp. HL-93	1666906	S	166	192	358	1.00E-05	1.00E-03	GCF_900086985.1
Halomonas sp. hl-4	1761789	S	161	181	342	1.00E-05	1.00E-03	GCF_900215475.1
Halomonas sp. TA6	2730854	S	1	429	430	1.00E-05	1.00E-03	GCF_013004025.1
Halomonas sp. TA22	2730914	S	1	455	456	1.00E-05	1.00E-03	GCF_013009075.1
Halomonas profundi	2852117	S	516	40	556	1.00E-05	1.00E-03	GCF_019722725.1
Halomonas alkaliantarctica	232346	S	404	37	441	1.00E-05	1.00E-03	GCF_029854215.1
Halomonas venusta	44935	S	249	154	403	1.00E-05	1.00E-03	GCF_026811385.1
Cobetia sp. ICG0124	2053669	S	36	785	821	1.00E-05	1.00E-03	GCF_004006355.1
Cobetia marina	28258	S	59	677	736	1.00E-05	1.00E-03	GCF_030548825.1
Zymobacter palmae	33074	S	744	77	821	1.00E-05	1.00E-03	GCF_003610015.1
Marinobacterium sediminicola	518898	S	799	40	839	1.00E-05	1.00E-03	GCF_900184155.1
Marinobacterium iners	48076	S	701	191	892	1.00E-05	1.00E-03	GCF_017310015.1
Thalassolituus sp. C2-1	2597518	S	399	121	520	1.00E-05	1.00E-03	GCF_022832715.1
Thalassolituus hydrocarboniclasticus	2742796	S	394	128	522	1.00E-05	1.00E-03	GCF_025345565.1
Thalassolituus oleivorans	187493	S	289	48	337	1.00E-05	1.00E-03	GCF_029210095.1
Amphritea atlantica	355243	S	618	26	644	1.00E-05	1.00E-03	GCF_024347255.1
Aliamphritea hakodatensis	2895352	S	572	39	611	1.00E-05	1.00E-03	GCF_024347195.1
Neptuniibacter halophilus	651666	S	590	9	599	1.00E-05	1.00E-03	GCF_030295765.1
Bacterioplanes sanyensis	1249553	S	527	17	544	1.00E-05	1.00E-03	GCF_014652515.1
Nitrincola iocasae	2614693	S	439	53	492	1.00E-05	1.00E-03	GCF_008727795.1
Alcanivorax borkumensis	59754	S	80	370	450	1.00E-05	1.00E-03	GCF_000009365.1
Ketobacter alkanivorans	1917421	S	643	78	721	1.00E-05	1.00E-03	GCF_002863865.1
Reinekea forsetii	1336806	S	660	9	669	1.00E-05	1.00E-03	GCF_018860385.1
Gynuella sunshinyii	1445505	S	655	7	662	1.00E-05	1.00E-03	GCF_000940805.1
Salinispirillum sp. LH 10-3-1	2952525	S	517	11	528	1.00E-05	1.00E-03	GCF_030643825.1
Endozoicomonas sp. GU-1	3009078	S	448	26	474	1.00E-05	1.00E-03	GCF_027366555.1
Endozoicomonas sp. 4G	2872754	S	369	13	382	1.00E-05	1.00E-03	GCF_023822025.1
Endozoicomonas sp. SCSIO W0465	2918516	S	353	26	379	1.00E-05	1.00E-03	GCF_023716865.1
Endozoicomonas montiporae	1027273	S	428	18	446	1.00E-05	1.00E-03	GCF_000722565.1
Endozoicomonas euniceicola	1234143	S	422	17	439	1.00E-05	1.00E-03	GCF_025562755.1
Litorivicinus lipolyticus	418701	S	846	9	855	1.00E-05	1.00E-03	GCF_009650135.1
Oleiphilus messinensis	141451	S	376	40	416	1.00E-05	1.00E-03	GCF_900108075.1
Halorhodospira halochloris	1052	S	802	4	806	1.00E-05	1.00E-03	GCF_022229325.1
Ectothiorhodosinus mongolicus	233100	S	821	89	910	1.00E-05	1.00E-03	GCF_022406875.1
Nitrosococcus halophilus	133539	S	632	35	667	1.00E-05	1.00E-03	GCF_000024725.1
Nitrosococcus watsonii	473531	S	624	143	767	1.00E-05	1.00E-03	GCF_000143085.1
Nitrosococcus wardiae	1814290	S	548	26	574	1.00E-05	1.00E-03	GCF_004421105.1
Nitrosococcus oceani	1229	S	495	106	601	1.00E-05	1.00E-03	GCF_007990675.1
Rheinheimera sp. F8	1763998	S	453	9	462	1.00E-05	1.00E-03	GCF_001518915.1
Halothiobacillus neapolitanus	927	S	852	66	918	1.00E-05	1.00E-03	GCF_004361875.1
Methylomonas sp. LW13	107637	S	553	356	909	1.00E-05	1.00E-03	GCF_016865255.1
Methylomonas paludis	1173101	S	576	25	601	1.00E-05	1.00E-03	GCF_018734325.1
Methylobacter sp. S3L5C	2839024	S	407	20	427	1.00E-05	1.00E-03	GCF_022788635.1
Methylotuvimicrobium alcaliphilum	271065	S	548	371	919	1.00E-05	1.00E-03	GCF_000968535.2
Methylotuvimicrobium buryatense	95641	S	512	338	850	1.00E-05	1.00E-03	GCF_005931095.1
Methylovulum psychrotolerans	1704499	S	832	18	850	1.00E-05	1.00E-03	GCF_018722605.1
Aeromonas sp. CU5	2033033	S	506	105	611	1.00E-05	1.00E-03	GCF_002586745.1
Aeromonas sp. FDAARGOS 1409	2778058	S	391	327	718	1.00E-05	1.00E-03	GCF_019048705.1
Aeromonas sp. CA23	2033032	S	352	194	546	1.00E-05	1.00E-03	GCF_002587065.1
Aeromonas sp. BC14	2970966	S	146	300	446	1.00E-05	1.00E-03	GCF_026651585.1
Aeromonas sp. ASNIH4	1636609	S	128	470	598	1.00E-05	1.00E-03	GCF_002934425.1
Aeromonas sp. FDAARGOS 1407	2778056	S	115	226	341	1.00E-05	1.00E-03	GCF_019048725.1
Aeromonas sp. 2692-1	2560029	S	85	327	412	1.00E-05	1.00E-03	GCF_013085505.1
Aeromonas sp. FDAARGOS 1403	2778052	S	82	261	343	1.00E-05	1.00E-03	GCF_019047325.1
Aeromonas sp. FDAARGOS 1408	2778057	S	81	506	587	1.00E-05	1.00E-03	GCF_019048665.1
Aeromonas sp. ASNIH2	1636607	S	74	733	807	1.00E-05	1.00E-03	GCF_002934795.1
Aeromonas sp. FDAARGOS 1402	2778051	S	38	387	425	1.00E-05	1.00E-03	GCF_019046925.1
Aeromonas sp. WP2-W18-CRE-05	2675707	S	23	797	820	1.00E-05	1.00E-03	GCF_014168615.1
Aeromonas sp. ASNIH1	1636606	S	15	536	551	1.00E-05	1.00E-03	GCF_002934285.1
Aeromonas bestiarum	105751	S	310	187	497	1.00E-05	1.00E-03	GCF_030386515.1
Aeromonas rivipollensis	948519	S	266	157	423	1.00E-05	1.00E-03	GCF_030386755.1
Dongshaea marina	2047966	S	564	22	586	1.00E-05	1.00E-03	GCF_003072645.1
Tolumonas auensis	43948	S	316	116	432	1.00E-05	1.00E-03	GCF_000023065.1
Shewanella sp. DAU305	2991940	S	94	594	688	1.00E-05	1.00E-03	GCF_026802235.1
Shewanella khirikhana	1965282	S	617	40	657	1.00E-05	1.00E-03	GCF_003957745.1
Shewanella cyperi	2814292	S	556	136	692	1.00E-05	1.00E-03	GCF_017354985.1
Shewanella litorisediminis	1173586	S	461	48	509	1.00E-05	1.00E-03	GCF_023349165.1
Shewanella marisflavi	260364	S	456	40	496	1.00E-05	1.00E-03	GCF_023283925.1
Shewanella baltica	62322	S	394	524	918	1.00E-05	1.00E-03	GCF_031583995.1
Shewanella amazonensis	60478	S	355	40	395	1.00E-05	1.00E-03	GCF_000015245.1
Shewanella sedimentimangrovi	2814293	S	343	130	473	1.00E-05	1.00E-03	GCF_017354965.1
Shewanella dokdonensis	712036	S	334	13	347	1.00E-05	1.00E-03	GCF_023283565.1
Shewanella rhizosphaerae	2864207	S	217	199	416	1.00E-05	1.00E-03	GCF_019457655.1
Shewanella spartinae	2864205	S	207	205	412	1.00E-05	1.00E-03	GCF_019457555.1
Shewanella chilikensis	558541	S	100	234	334	1.00E-05	1.00E-03	GCF_023283475.1
Pseudoalteromonas sp. R3	1709477	S	314	16	330	1.00E-05	1.00E-03	GCF_004014715.1
Pseudoalteromonas rubra	43658	S	718	28	746	1.00E-05	1.00E-03	GCF_005886805.2
Pseudoalteromonas viridis	339617	S	369	54	423	1.00E-05	1.00E-03	GCF_017742995.1
Pseudoalteromonas luteoviolacea	43657	S	327	16	343	1.00E-05	1.00E-03	GCF_021654285.1
Alteromonas sp. RKMC-009	2267264	S	348	20	368	1.00E-05	1.00E-03	GCF_003584565.2
Alteromonas macleodii	28108	S	544	105	649	1.00E-05	1.00E-03	GCF_950059515.1
Alteromonas mediterranea	314275	S	398	249	647	1.00E-05	1.00E-03	GCF_927797765.1
Salinimonas marina	2785918	S	357	16	373	1.00E-05	1.00E-03	GCF_015644725.1
Salinimonas lutimaris	914153	S	301	31	332	1.00E-05	1.00E-03	GCF_005222225.1
Lacimicrobium alkaliphilum	1526571	S	554	15	569	1.00E-05	1.00E-03	GCF_014640135.1
Saliniradius amylolyticus	2183582	S	486	18	504	1.00E-05	1.00E-03	GCF_003143555.1
Ferrimonas lipolytica	2724191	S	342	22	364	1.00E-05	1.00E-03	GCF_012295575.1
Thalassomonas viridans	137584	S	687	31	718	1.00E-05	1.00E-03	GCF_000948985.2
Thalassomonas actiniarum	485447	S	531	51	582	1.00E-05	1.00E-03	GCF_000948975.2
Thalassomonas haliotis	485448	S	451	48	499	1.00E-05	1.00E-03	GCF_028657945.1
Idiomarina sp. OT37-5b	2100422	S	424	97	521	1.00E-05	1.00E-03	GCF_002968395.1
Idiomarina loihiensis	135577	S	455	167	622	1.00E-05	1.00E-03	GCF_024584785.1
Microbulbifer sp. MI-G	2944933	S	722	93	815	1.00E-05	1.00E-03	GCF_030440425.1
Microbulbifer sp. GL-2	2591606	S	404	204	608	1.00E-05	1.00E-03	GCF_007183175.1
Microbulbifer sp. MLAF003	3032582	S	293	304	597	1.00E-05	1.00E-03	GCF_030012965.1
Microbulbifer sp. A4B17	359370	S	228	654	882	1.00E-05	1.00E-03	GCF_003076275.1
Microbulbifer agarilyticus	260552	S	767	53	820	1.00E-05	1.00E-03	GCF_020171345.1
Microbulbifer variabilis	266805	S	342	115	457	1.00E-05	1.00E-03	GCF_023716485.1
Cellvibrio sp. PSBB006	1987723	S	924	10	934	1.00E-05	1.00E-03	GCF_002162135.1
Cellvibrio sp. KY-GH-1	2303332	S	528	39	567	1.00E-05	1.00E-03	GCF_008806975.1
Cellvibrio sp. PSBB023	1945512	S	490	17	507	1.00E-05	1.00E-03	GCF_002007605.1
Cellvibrio sp. QJXJ	2964606	S	186	169	355	1.00E-05	1.00E-03	GCF_024452345.1
Cellvibrio sp. KY-YJ-3	454662	S	183	168	351	1.00E-05	1.00E-03	GCF_008806955.1
Cellvibrio japonicus	155077	S	606	75	681	1.00E-05	1.00E-03	GCF_008120895.1
Simiduia sp. 21SJ11W-1	2909669	S	789	30	819	1.00E-05	1.00E-03	GCF_024138675.1
Teredinibacter turnerae	2426	S	522	8	530	1.00E-05	1.00E-03	GCF_000964255.1
Teredinibacter haidensis	2731755	S	337	14	351	1.00E-05	1.00E-03	GCF_014211975.1
Gilvimarinus sp. DA14	2956798	S	719	9	728	1.00E-05	1.00E-03	GCF_024204685.1
Saccharophagus degradans	86304	S	397	14	411	1.00E-05	1.00E-03	GCF_030547055.1
Aequoribacter fuscus	2518989	S	411	59	470	1.00E-05	1.00E-03	GCF_009910365.1
Candidatus Paraluminiphilus aquimaris	2518994	S	354	3	357	1.00E-05	1.00E-03	GCF_026230195.1
Spongiibacter taiwanensis	1748242	S	888	10	898	1.00E-05	1.00E-03	GCF_023702635.1
Spongiibacter sp. IMCC21906	1620392	S	373	82	455	1.00E-05	1.00E-03	GCF_001010805.1
Zhongshania aliphaticivorans	1470434	S	522	23	545	1.00E-05	1.00E-03	GCF_902705895.1
Vibrio sp. THAF191d	2661922	S	2	784	786	1.00E-05	1.00E-03	GCF_009676865.1
Vibrio campbellii	680	S	341	301	642	1.00E-05	1.00E-03	GCF_028743655.1
Vibrio alginolyticus	663	S	210	623	833	1.00E-05	1.00E-03	GCF_032463505.1
Vibrio harveyi	669	S	202	276	478	1.00E-05	1.00E-03	GCF_030388405.1
Vibrio owensii	696485	S	202	136	338	1.00E-05	1.00E-03	GCF_027591785.1
Vibrio vulnificus	672	S	835	120	955	1.00E-05	1.00E-03	GCF_032423895.1
Vibrio cholerae	666	S	495	431	926	1.00E-05	1.00E-03	GCF_032335255.1
Vibrio mimicus	674	S	412	86	498	1.00E-05	1.00E-03	GCF_019846815.1
Vibrio navarrensis	29495	S	411	86	497	1.00E-05	1.00E-03	GCF_016094345.1
Vibrio anguillarum	55601	S	410	398	808	1.00E-05	1.00E-03	GCF_030851405.1
Vibrio nigripulchritudo	28173	S	358	80	438	1.00E-05	1.00E-03	GCF_027924845.1
Vibrio quintilis	1117707	S	347	16	363	1.00E-05	1.00E-03	GCF_024529975.1
Vibrio gazogenes	687	S	343	23	366	1.00E-05	1.00E-03	GCF_024346915.1
Vibrio coralliilyticus	190893	S	304	179	483	1.00E-05	1.00E-03	GCF_029541605.1
Vibrio metoecus	1481663	S	258	87	345	1.00E-05	1.00E-03	GCF_030580635.1
Vibrio alfacsensis	1074311	S	234	110	344	1.00E-05	1.00E-03	GCF_019670485.1
Photobacterium sp. CCB-ST2H9	2912855	S	512	39	551	1.00E-05	1.00E-03	GCF_023151555.2
Photobacterium sp. TLY01	2907534	S	485	49	534	1.00E-05	1.00E-03	GCF_021432065.1
Photobacterium sp. GJ3	2829502	S	449	30	479	1.00E-05	1.00E-03	GCF_018199995.1
Photobacterium sp. DA100	3027472	S	353	174	527	1.00E-05	1.00E-03	GCF_029223585.1
Photobacterium sp. GSS17	3020715	S	266	434	700	1.00E-05	1.00E-03	GCF_028621875.1
Photobacterium atrarenae	865757	S	710	56	766	1.00E-05	1.00E-03	GCF_024380015.1
Photobacterium damselae	38293	S	463	139	602	1.00E-05	1.00E-03	GCF_030169005.1
Photobacterium leiognathi	553611	S	304	40	344	1.00E-05	1.00E-03	GCF_030716965.1
Photobacterium gaetbulicola	1295392	S	265	112	377	1.00E-05	1.00E-03	GCF_003025515.1
Salinivibrio kushneri	1908198	S	697	68	765	1.00E-05	1.00E-03	GCF_027286385.1
Grimontia hollisae	673	S	409	28	437	1.00E-05	1.00E-03	GCF_029223295.1
Acinetobacter indicus	756892	S	403	333	736	1.00E-05	1.00E-03	GCF_030329385.1
Acinetobacter johnsonii	40214	S	388	268	656	1.00E-05	1.00E-03	GCF_031157845.1
Acinetobacter lwoffii	28090	S	195	222	417	1.00E-05	1.00E-03	GCF_963518635.1
Acinetobacter towneri	202956	S	179	385	564	1.00E-05	1.00E-03	GCF_030329235.1
Acinetobacter variabilis	70346	S	135	204	339	1.00E-05	1.00E-03	GCF_032115155.1
Psychrobacter cryohalolentis	330922	S	39	554	593	1.00E-05	1.00E-03	GCF_904845985.1
Moraxella osloensis	34062	S	485	106	591	1.00E-05	1.00E-03	GCF_963515855.1
Moraxella sp. FZFQ2102	2953752	S	74	274	348	1.00E-05	1.00E-03	GCF_024137865.1
Thiomicrorhabdus xiamenensis	2739063	S	364	9	373	1.00E-05	1.00E-03	GCF_013282625.1
Methylophaga frappieri	754477	S	250	145	395	1.00E-05	1.00E-03	GCF_000260965.1
Thiomicrospira sp. S5	1803865	S	219	137	356	1.00E-05	1.00E-03	GCF_003991075.1
Hydrogenovibrio thermophilus	265883	S	235	146	381	1.00E-05	1.00E-03	GCF_004028275.1
Thiothrix subterranea	2735563	S	774	120	894	1.00E-05	1.00E-03	GCF_030931015.1
Thiothrix winogradskyi	96472	S	465	91	556	1.00E-05	1.00E-03	GCF_021650935.1
Thiothrix lacustris	525917	S	428	364	792	1.00E-05	1.00E-03	GCF_031020985.1
Thiothrix sp.	1032	S	333	51	384	1.00E-05	1.00E-03	GCF_028714775.1
Thiothrix unzii	111769	S	300	68	368	1.00E-05	1.00E-03	GCF_017901175.1
Thiothrix litoralis	2891210	S	299	444	743	1.00E-05	1.00E-03	GCF_017901135.1
Legionella sp. MW5194	2662448	S	432	69	501	1.00E-05	1.00E-03	GCF_016864235.1
Legionella pneumophila	446	S	590	165	755	1.00E-05	1.00E-03	GCF_031583635.1
Legionella geestiana	45065	S	529	28	557	1.00E-05	1.00E-03	GCF_004766445.2
Legionella spiritensis	452	S	458	41	499	1.00E-05	1.00E-03	GCF_900639955.1
Aquicella siphonis	254247	S	646	30	676	1.00E-05	1.00E-03	GCF_902459485.1
Aquicella lusitana	254246	S	645	32	677	1.00E-05	1.00E-03	GCF_902459475.1
Coxiella burnetii	777	S	524	118	642	1.00E-05	1.00E-03	GCF_032463305.1
Haemophilus parainfluenzae	729	S	315	68	383	1.00E-05	1.00E-03	GCF_030144815.1
Haemophilus influenzae	727	S	201	254	455	1.00E-05	1.00E-03	GCF_030554875.1
Actinobacillus sp. GY-402	2774188	S	269	124	393	1.00E-05	1.00E-03	GCF_014843355.1
Aggregatibacter actinomycetemcomitans	714	S	331	30	361	1.00E-05	1.00E-03	GCF_025449295.1
Mannheimia haemolytica	75985	S	115	718	833	1.00E-05	1.00E-03	GCF_030930935.1
Pasteurella multocida	747	S	245	210	455	1.00E-05	1.00E-03	GCF_032335655.1
Pasteurella sp. XG20	2844383	S	6	473	479	1.00E-05	1.00E-03	GCF_018968665.1
Gallaecimonas mangrovi	2291597	S	531	17	548	1.00E-05	1.00E-03	GCF_003367375.1
Pseudohongiella spirulinae	1249552	S	706	6	712	1.00E-05	1.00E-03	GCF_001444425.1
Acidithiobacillus sp. 'AMD consortium'	2614801	S	50	411	461	1.00E-05	1.00E-03	GCF_008926505.1
Acidithiobacillus ferriphilus	1689834	S	799	31	830	1.00E-05	1.00E-03	GCF_028215975.1
Acidithiobacillus ferrooxidans	920	S	767	172	939	1.00E-05	1.00E-03	GCF_024626545.1
Acidithiobacillus thiooxidans	930	S	629	10	639	1.00E-05	1.00E-03	GCF_031460335.1
Mariprofundus ferrinatatus	1921087	S	680	53	733	1.00E-05	1.00E-03	GCF_002795825.1
Mariprofundus aestuarium	1921086	S	488	42	530	1.00E-05	1.00E-03	GCF_002795805.1
Poriferisphaera corsica	2528020	S	786	0	786	1.00E-05	1.00E-03	GCF_007747445.1
Sedimentisphaera salicampi	1941349	S	350	36	386	1.00E-05	1.00E-03	GCF_002239625.1
Sedimentisphaera cyanobacteriorum	1940790	S	228	358	586	1.00E-05	1.00E-03	GCF_001997385.1
Limihaloglobus sulfuriphilus	1851148	S	476	3	479	1.00E-05	1.00E-03	GCF_001999965.1
Candidatus Kuenenia stuttgartiensis	174633	S	700	0	700	1.00E-05	1.00E-03	GCF_011066545.1
Candidatus Uabimicrobium amorphum	2596890	S	526	0	526	1.00E-05	1.00E-03	GCF_009002475.1
Coraliomargarita akajimensis	395922	S	704	0	704	1.00E-05	1.00E-03	GCF_000025905.1
Candidatus Pelagisphaera phototrophica	2684113	S	549	0	549	1.00E-05	1.00E-03	GCF_014529625.1
Methylacidiphilum infernorum	511746	S	82	246	328	1.00E-05	1.00E-03	GCF_017310525.1
Candidatus Velamenicoccus archaeovorus	1930593	S	917	0	917	1.00E-05	1.00E-03	GCF_004102945.1
Hymenobacter sp. DG25A	1385663	S	767	99	866	1.00E-05	1.00E-03	GCF_001280305.1
